Customer Name,SurveyID for external use (e.g. tech support),Club's Name,Social Media Source,Creation Date,Comment,Overall Score
Casey Brewer,4b46bf1f-5678-4f70-ac8f-d9e1d1664dc4,South Miranda Gym,Google,2022-11-20,Locker rooms could be cleaner. Staff are very friendly and helpful. Parking is limited but manageable.,4
Tanya Roberts,3c3d6740-680f-4ff1-ba70-2f3cf5419190,South Julie Gym,Google,2023-04-11,Can get crowded during peak hours. Great equipment and clean facilities. Locker rooms could be cleaner. Parking is limited but manageable.,5
Mrs. Wanda Sloan,1d409f11-f8bc-4c34-ba1b-b6489728f610,Williamside Gym,Google,2023-02-20,Classes are fun and motivating. Great equipment and clean facilities. Good variety of machines and weights. Staff are very friendly and helpful.,5
Raymond Davies,00b79fe9-b96c-4d97-9777-844237968528,Lake Claudia Gym,Google,2024-01-25,Good variety of machines and weights. Locker rooms could be cleaner. Parking is limited but manageable. Great equipment and clean facilities.,5
Rachel Russo,85e6beb3-244f-4696-8a58-edead137c83e,Cynthiaberg Gym,Google,2023-01-18,Atmosphere is motivating and energetic. Can get crowded during peak hours.,4
Matthew King,c30ec0d1-8dd5-47c1-8c05-c65bb612365a,Stephenborough Gym,Google,2023-08-14,Locker rooms could be cleaner. Can get crowded during peak hours.,1
Jennifer Hood,3033562a-5b23-4641-a8e6-a03606963639,Leside Gym,Google,2022-07-03,Can get crowded during peak hours. Great equipment and clean facilities.,4
Amanda Jackson,98831612-beee-493e-a067-17fcb5e82602,New Misty Gym,Google,2024-01-23,Parking is limited but manageable. Classes are fun and motivating. Great equipment and clean facilities. Staff are very friendly and helpful.,1
Brandon Cannon,f685086a-461e-4e0e-9728-150cfaae9ddf,Port Thomasberg Gym,Google,2022-08-21,Great equipment and clean facilities. Easy to book classes online. Staff are very friendly and helpful. Can get crowded during peak hours.,5
Richard Vance,25d77640-2cc3-49ee-93e1-8dbb44799283,Bradleystad Gym,Google,2024-05-04,Great equipment and clean facilities. Parking is limited but manageable. Staff are very friendly and helpful. Locker rooms could be cleaner.,5
Christopher Downs,071ef281-9e48-467b-983c-a1a9a9b89137,Chadmouth Gym,Google,2023-05-20,Staff are very friendly and helpful. Some machines were broken during my visit. Great equipment and clean facilities.,1
Alexandria Becker,2c800e68-bec2-422c-85bc-4375c6a9e7f6,Lake Regina Gym,Google,2024-01-23,Parking is limited but manageable. Classes are fun and motivating. Atmosphere is motivating and energetic.,1
Brian Lopez,967756d5-d65e-4dfd-877d-6b0899f54eba,Port Lorishire Gym,Google,2022-05-09,Easy to book classes online. Parking is limited but manageable. Locker rooms could be cleaner.,5
Kyle Morrison,6c9f398f-ddad-46b9-aa6b-7fd5bf574678,Kingmouth Gym,Google,2023-09-23,Good variety of machines and weights. Atmosphere is motivating and energetic. Some machines were broken during my visit. Parking is limited but manageable.,3
Meghan Pittman,227cb46c-e9fe-4651-9301-98cb56d83c0a,New Bradley Gym,Google,2022-08-27,Locker rooms could be cleaner. Great equipment and clean facilities. Good variety of machines and weights. Some machines were broken during my visit.,2
Dalton Ramsey,a95e96da-c2cf-4338-bf68-f4a788dcbd34,Adrianachester Gym,Google,2022-09-07,Staff are very friendly and helpful. Atmosphere is motivating and energetic. Parking is limited but manageable. Great equipment and clean facilities.,4
Steven Hancock,741713d6-13e2-4976-ba90-edf996ec3810,New Michaeltown Gym,Google,2022-07-19,Staff are very friendly and helpful. Great equipment and clean facilities.,4
Laura Lewis,fc72ecd5-06d8-4adc-88dd-8243aafa25c0,Jessicaburgh Gym,Google,2023-05-21,Can get crowded during peak hours. Great equipment and clean facilities. Good variety of machines and weights. Parking is limited but manageable.,4
Brandi Martin,4ef24355-6aac-4d0c-aade-f25573ccd871,Sheilamouth Gym,Google,2022-09-21,Atmosphere is motivating and energetic. Staff are very friendly and helpful. Locker rooms could be cleaner.,5
Alexander Mills,41c8f123-220f-4b58-864c-959e01caab81,Goldenburgh Gym,Google,2023-01-21,Can get crowded during peak hours. Great equipment and clean facilities.,4
Bryan Williams,2fd765a6-9d03-413c-9663-3efabeb215c4,Clarkstad Gym,Google,2022-10-03,Locker rooms could be cleaner. Parking is limited but manageable. Great equipment and clean facilities.,3
William Hunt,23d63c50-d1c9-40bf-8ce8-c419487342e9,West Patrickton Gym,Google,2023-08-03,Classes are fun and motivating. Easy to book classes online. Great equipment and clean facilities.,2
Belinda Parker,c2b6eafe-f5fa-46ce-acd7-aabb603619d1,North Jacob Gym,Google,2022-10-24,Great equipment and clean facilities. Staff are very friendly and helpful.,5
Meagan Peck,5ab55c12-d5cf-44be-8837-547a721aee34,Port Sharon Gym,Google,2022-07-25,Atmosphere is motivating and energetic. Staff are very friendly and helpful. Great equipment and clean facilities.,5
Breanna Jones,39c07d3e-7530-48b5-bf83-829ae1d56788,New Teresa Gym,Google,2023-09-30,Atmosphere is motivating and energetic. Some machines were broken during my visit.,1
Steven Lewis,ff6e62c7-21ef-4121-8df5-ed13c38fd280,Port Glenn Gym,Google,2022-04-22,Good variety of machines and weights. Classes are fun and motivating.,4
Kristina Mathis MD,0a4dbcce-8bff-4ebd-9ea4-ecba5020d59f,Collierport Gym,Google,2022-06-13,Classes are fun and motivating. Good variety of machines and weights. Can get crowded during peak hours. Atmosphere is motivating and energetic.,3
Jenny Hoffman MD,fe9f88ff-712d-4acd-84a5-2f1f7a016f84,North Tony Gym,Google,2023-11-23,Great equipment and clean facilities. Parking is limited but manageable. Atmosphere is motivating and energetic.,3
Dale Hoover,3b355bc4-4e05-484e-8ce9-3bc7cc05b6e0,Michelleberg Gym,Google,2022-03-12,Classes are fun and motivating. Staff are very friendly and helpful. Parking is limited but manageable.,4
Aaron Clarke,f966925d-ec40-4ea0-9461-296f43067653,Michelleport Gym,Google,2023-08-14,Atmosphere is motivating and energetic. Can get crowded during peak hours. Great equipment and clean facilities. Some machines were broken during my visit.,2
Shannon Cooper,7cfaf08a-c9c2-4714-a636-6e0238342c4c,Cookfort Gym,Google,2023-11-06,Classes are fun and motivating. Atmosphere is motivating and energetic. Easy to book classes online. Good variety of machines and weights.,5
Stephen Dominguez,b2a6e589-6f2d-44f6-bb69-dcf9c6fbde19,West Christopher Gym,Google,2023-06-18,Easy to book classes online. Some machines were broken during my visit. Can get crowded during peak hours. Staff are very friendly and helpful.,3
Zachary Curtis Jr.,010008f2-0ad3-418d-94a2-e1890d13e689,South Charles Gym,Google,2022-08-20,Good variety of machines and weights. Classes are fun and motivating.,1
James Anderson,f231f1b3-d50b-4ba8-857d-c607817f297d,Leonside Gym,Google,2023-10-28,Easy to book classes online. Locker rooms could be cleaner. Good variety of machines and weights.,1
Donna Gutierrez,fdd7c320-9009-401e-a5cc-fec1ecb76189,New Chase Gym,Google,2024-01-24,Atmosphere is motivating and energetic. Parking is limited but manageable. Great equipment and clean facilities. Some machines were broken during my visit.,5
Tracey Best,5c766c87-68bc-4776-b593-1ba43aaa3925,Drakemouth Gym,Google,2024-03-07,Locker rooms could be cleaner. Great equipment and clean facilities.,4
Robin Cole,763dd7bd-6f55-44b2-a4ab-8cfbf982b9e5,Wrighthaven Gym,Google,2023-07-11,Parking is limited but manageable. Atmosphere is motivating and energetic. Some machines were broken during my visit. Good variety of machines and weights.,5
Morgan Preston DDS,781e1679-208b-4b01-8cae-ef2ad925deb2,North Joseview Gym,Google,2022-08-06,Classes are fun and motivating. Locker rooms could be cleaner. Parking is limited but manageable.,5
Kenneth Taylor,8b847c9b-0f29-4147-8527-24652ced53b9,Port Josephport Gym,Google,2023-10-01,Some machines were broken during my visit. Parking is limited but manageable. Locker rooms could be cleaner. Good variety of machines and weights.,3
Mary Lewis,90609a39-686f-43a7-aac7-0b69a4a425fc,Wilsonhaven Gym,Google,2022-07-12,Staff are very friendly and helpful. Parking is limited but manageable.,4
Sheryl Clark,e9b518dd-1a56-490e-b2f6-2c1f2f14447d,West Jeffrey Gym,Google,2022-05-29,Good variety of machines and weights. Great equipment and clean facilities. Can get crowded during peak hours. Staff are very friendly and helpful.,1
Jessica Gray,05b02925-6b91-4c14-992c-f440d01d6d92,Kennedymouth Gym,Google,2023-02-25,Great equipment and clean facilities. Atmosphere is motivating and energetic.,2
Edward Mccoy,4410a81e-4c89-4bd9-add6-adaed64cad93,Yangview Gym,Google,2024-02-20,Can get crowded during peak hours. Classes are fun and motivating.,4
Eric Blevins,81451f85-6bc7-4ae7-9679-07215f1577c1,Luisborough Gym,Google,2022-08-16,Some machines were broken during my visit. Staff are very friendly and helpful. Good variety of machines and weights.,2
Douglas Chavez,206b4f58-8d22-482b-b28a-89a9011d30d6,Port Natalie Gym,Google,2023-06-29,Locker rooms could be cleaner. Staff are very friendly and helpful. Parking is limited but manageable. Atmosphere is motivating and energetic.,5
Michelle Miller,982517dc-d9a8-4f62-8602-38cc6eddce27,South Michaelside Gym,Google,2022-10-01,Good variety of machines and weights. Parking is limited but manageable. Can get crowded during peak hours. Staff are very friendly and helpful.,5
Tyler Rivera,1d03b43f-cb8f-46ba-a270-5b170e34ab59,Sullivanview Gym,Google,2022-06-06,Classes are fun and motivating. Atmosphere is motivating and energetic.,1
Sarah Berg,56ca3e38-c734-4e51-a0b2-7ecb0d318f8b,West Joseph Gym,Google,2024-03-19,Easy to book classes online. Good variety of machines and weights. Can get crowded during peak hours. Parking is limited but manageable.,1
Sandra Miller,e86b299c-d469-44f2-856f-f2f48f05e51e,Paulamouth Gym,Google,2023-01-29,Good variety of machines and weights. Classes are fun and motivating. Staff are very friendly and helpful. Easy to book classes online.,5
Barbara Joseph,b46dea2c-5a03-4d0f-8024-fe5f36d02e65,South Justinmouth Gym,Google,2023-04-08,Good variety of machines and weights. Classes are fun and motivating. Can get crowded during peak hours. Parking is limited but manageable.,5
Pamela Miller,97cc1602-abe6-498c-aa55-e4aa96192e16,East Susan Gym,Google,2022-03-10,Great equipment and clean facilities. Easy to book classes online. Locker rooms could be cleaner.,4
Joseph Miller Jr.,df799c03-042a-45bb-b073-fb33a476a21f,Chapmantown Gym,Google,2023-08-07,Staff are very friendly and helpful. Great equipment and clean facilities.,2
Joseph Poole,ef02d676-cd81-43e3-b163-bed889a293bb,Cobbville Gym,Google,2022-09-23,Classes are fun and motivating. Locker rooms could be cleaner. Some machines were broken during my visit. Good variety of machines and weights.,1
Kathryn Pope,c9b58896-d3a9-4572-96e3-680b80d12874,West Matthewbury Gym,Google,2022-06-04,Some machines were broken during my visit. Good variety of machines and weights.,5
Taylor Smith,7a15c599-39f7-413f-aa94-7abca1e00c81,Matthewfort Gym,Google,2023-09-09,Locker rooms could be cleaner. Atmosphere is motivating and energetic. Can get crowded during peak hours.,4
Phillip Anderson,e4a3d6c5-f0a4-48cd-8267-56f29aeba87a,East Russellville Gym,Google,2023-10-14,Classes are fun and motivating. Staff are very friendly and helpful. Great equipment and clean facilities.,2
Joann Williams,4b33ce0e-5126-44e9-b74f-e2670e24fc92,East Heatherport Gym,Google,2022-05-12,Some machines were broken during my visit. Atmosphere is motivating and energetic. Locker rooms could be cleaner. Easy to book classes online.,5
Dr. Earl White,144c8a66-242e-42aa-8e80-28b55a4b31a8,Hayeshaven Gym,Google,2023-07-08,Classes are fun and motivating. Good variety of machines and weights. Staff are very friendly and helpful.,5
Tyler Doyle,ba74ccc8-a9a6-4daa-ab2b-e983f06cee25,Fordport Gym,Google,2022-06-09,Atmosphere is motivating and energetic. Can get crowded during peak hours.,3
Michael Garcia,9ad0aa71-3d18-4e91-980f-5d1ee445be83,West Rodney Gym,Google,2023-10-22,Parking is limited but manageable. Classes are fun and motivating. Can get crowded during peak hours. Great equipment and clean facilities.,2
Raymond Smith,bff94ae5-7309-40dc-bfe5-ad5f39bd6f3f,East David Gym,Google,2023-03-12,Great equipment and clean facilities. Atmosphere is motivating and energetic. Parking is limited but manageable. Some machines were broken during my visit.,3
Renee Reyes,b95225be-6bda-4ac6-8473-670caa7b5cc3,Lake Jennifer Gym,Google,2022-07-20,Easy to book classes online. Parking is limited but manageable. Good variety of machines and weights.,2
Jacqueline Howard,f7caf5d0-18c8-4a98-ab30-7118d3f0145a,New Williamfort Gym,Google,2023-12-08,Parking is limited but manageable. Can get crowded during peak hours.,3
Cindy Harris,d178477b-a8ed-4611-b351-0387e73e0e80,Jamesfort Gym,Google,2024-04-11,Some machines were broken during my visit. Locker rooms could be cleaner.,2
Paul Rivera,f2cf42f3-3087-42a1-81fa-3fcb86a892d3,Jacksonhaven Gym,Google,2023-12-22,Can get crowded during peak hours. Parking is limited but manageable. Great equipment and clean facilities.,4
Michelle Holland,cdb8786f-a1a6-4e47-aaaf-4d8c65059404,Heatherhaven Gym,Google,2023-04-01,Can get crowded during peak hours. Classes are fun and motivating. Great equipment and clean facilities.,3
Timothy Ramsey,ba7b1bd9-aa09-44c9-ba9c-61cddd89a807,Tammyburgh Gym,Google,2022-08-10,Classes are fun and motivating. Some machines were broken during my visit.,4
Ronald Patrick,c5280807-6296-4054-a3bb-f883f682966a,Javierborough Gym,Google,2023-04-27,Great equipment and clean facilities. Staff are very friendly and helpful.,2
Daniel Brown,e823ee67-ce94-4c00-afb6-b98a272fe000,Mcdonaldhaven Gym,Google,2022-07-01,Locker rooms could be cleaner. Classes are fun and motivating. Good variety of machines and weights. Can get crowded during peak hours.,5
Evelyn James,c1a91807-2f8f-4d26-b3d3-79677dfc76b2,North Shelbytown Gym,Google,2022-12-23,Can get crowded during peak hours. Classes are fun and motivating. Great equipment and clean facilities.,2
Dr. Adam Crawford,6a40c4d6-096a-41ab-93ed-1c65373d10af,Lake Ashleyville Gym,Google,2023-03-28,Some machines were broken during my visit. Locker rooms could be cleaner. Easy to book classes online. Staff are very friendly and helpful.,4
Brooke Williams,2e569399-fb00-454d-be9d-64c68f5897a5,Lake Tomville Gym,Google,2023-01-24,Classes are fun and motivating. Great equipment and clean facilities. Parking is limited but manageable.,5
Alec Watkins,82dd0e81-02c4-4705-8dbc-edb6dcfffae3,New Meganburgh Gym,Google,2023-09-24,Locker rooms could be cleaner. Can get crowded during peak hours. Atmosphere is motivating and energetic. Good variety of machines and weights.,1
Melissa Rivera,1cc4db58-6ea1-4273-95a7-8fae0e3f63b9,North Kimberly Gym,Google,2023-06-23,Easy to book classes online. Atmosphere is motivating and energetic.,1
Scott Cook,8edfae47-e2e8-48f5-a51a-05a15cfaecfe,South William Gym,Google,2022-10-27,Parking is limited but manageable. Staff are very friendly and helpful. Easy to book classes online. Good variety of machines and weights.,1
Emily Bates,46795f49-9e1a-41e4-907e-42ec326c32ad,Sarahville Gym,Google,2024-01-10,Easy to book classes online. Some machines were broken during my visit. Great equipment and clean facilities.,5
Albert Oneal,1466c371-6cd6-4c14-b9cf-cd216251338e,South Nathaniel Gym,Google,2023-02-28,Some machines were broken during my visit. Good variety of machines and weights. Great equipment and clean facilities.,1
Robert Jones,91710d3c-06f7-4805-a079-93d3c5c5cbe6,New Edgarmouth Gym,Google,2023-10-30,Locker rooms could be cleaner. Can get crowded during peak hours.,5
Rachel Mcdowell,5fcf7b63-3dda-450d-961a-f28f6a548a0f,New Kathleenmouth Gym,Google,2023-12-29,Easy to book classes online. Parking is limited but manageable. Locker rooms could be cleaner.,2
Kaitlin Murphy,567a4a8e-d573-4bc6-930c-53bc402fc82e,Rodriguezshire Gym,Google,2023-01-16,Classes are fun and motivating. Parking is limited but manageable.,3
Emily Reynolds,2f2bef59-02d5-4b22-9548-966264794a40,Suarezfort Gym,Google,2023-08-04,Atmosphere is motivating and energetic. Classes are fun and motivating. Can get crowded during peak hours.,1
Daniel Simpson,2b9aa950-dce5-4c70-9a95-b467c9536320,Peterhaven Gym,Google,2023-05-16,Classes are fun and motivating. Good variety of machines and weights. Locker rooms could be cleaner.,4
Mackenzie Johnson,27d32f3d-3429-4c29-96e9-e9432de40778,Jasonfurt Gym,Google,2023-07-18,Some machines were broken during my visit. Locker rooms could be cleaner. Atmosphere is motivating and energetic.,5
Mark Richard,2ff84777-9433-442a-9d2e-1b278cd61cca,Thomasstad Gym,Google,2024-01-07,Classes are fun and motivating. Easy to book classes online. Locker rooms could be cleaner. Parking is limited but manageable.,5
Ricky Cruz,6cab2fae-d22a-4bdc-8205-b46cc45aec71,North Bryan Gym,Google,2024-02-19,Great equipment and clean facilities. Some machines were broken during my visit. Locker rooms could be cleaner. Classes are fun and motivating.,3
Michael Ford,a6556a24-1a04-413d-8b8d-49278e26b1e6,South Sandraside Gym,Google,2023-05-11,Great equipment and clean facilities. Easy to book classes online. Classes are fun and motivating. Parking is limited but manageable.,1
Shelley Hicks,4024aea7-be80-4a4a-90b7-bc1093a03ef6,Patrickstad Gym,Google,2022-07-28,Can get crowded during peak hours. Locker rooms could be cleaner. Classes are fun and motivating.,1
Brenda Booth,fb67141b-dd65-4a89-930e-dd0dc5992737,Lake Melissaberg Gym,Google,2022-09-24,Classes are fun and motivating. Can get crowded during peak hours. Easy to book classes online.,4
Tara Velasquez,0bee3e88-1d80-457f-b2b5-202e8dadc09d,Port Trevorchester Gym,Google,2024-01-13,Some machines were broken during my visit. Classes are fun and motivating. Parking is limited but manageable. Can get crowded during peak hours.,4
Maria Deleon,eba74d19-3252-4ec0-96a0-2db9eaf59eac,Barnesbury Gym,Google,2024-03-11,Parking is limited but manageable. Staff are very friendly and helpful. Some machines were broken during my visit.,5
Terry Holder,2c4027f3-b487-41ab-a250-199dec08c84f,Curtischester Gym,Google,2024-04-19,Locker rooms could be cleaner. Good variety of machines and weights. Staff are very friendly and helpful. Can get crowded during peak hours.,4
Jessica Taylor,a2cc52d2-7a2c-4781-8a70-886c8ac909a0,New Luis Gym,Google,2023-03-02,Can get crowded during peak hours. Great equipment and clean facilities. Staff are very friendly and helpful.,5
Jeremy Gardner DDS,2bd31f9a-0754-49ee-ad8d-17c51fb08f79,Taylorbury Gym,Google,2022-10-18,Good variety of machines and weights. Parking is limited but manageable.,2
Brent Lin,69dbf9d2-7bb2-44c6-9123-6248b7247c90,Jillfort Gym,Google,2023-04-04,Parking is limited but manageable. Can get crowded during peak hours.,1
Carolyn Cross,2f8cd072-8467-4727-b5cd-0e9704485c1f,Lake Tracyton Gym,Google,2023-04-11,Easy to book classes online. Parking is limited but manageable. Great equipment and clean facilities.,1
Walter Saunders,eb1d7fe3-ec8f-4e46-a16f-a43291db6a74,Shepardberg Gym,Google,2023-07-17,Easy to book classes online. Great equipment and clean facilities.,5
Christine Stewart,5867616a-6f7c-40d1-b264-2ce54dd10600,Brendaside Gym,Google,2023-02-23,Can get crowded during peak hours. Great equipment and clean facilities. Parking is limited but manageable.,2
Carol Shepard,856d62ad-1aca-4687-9374-88ddba938b47,Jeffreyside Gym,Google,2024-01-16,Classes are fun and motivating. Can get crowded during peak hours. Great equipment and clean facilities.,4
Alexis Nguyen,981682d6-8d7d-4066-8cc2-96e585ea36f9,Andreaside Gym,Google,2024-04-25,Good variety of machines and weights. Atmosphere is motivating and energetic. Great equipment and clean facilities. Locker rooms could be cleaner.,1
Cody Taylor,2d0ca5a1-4fc5-4900-b871-6b3b778266df,Christopherside Gym,Google,2024-01-02,Staff are very friendly and helpful. Atmosphere is motivating and energetic.,5
Jennifer Hayes,869f1a27-228c-434a-b173-e52452ffcbb2,Susanside Gym,Google,2023-12-29,Some machines were broken during my visit. Staff are very friendly and helpful. Atmosphere is motivating and energetic. Locker rooms could be cleaner.,1
Daniel Hernandez,eeb0f60a-252e-4c44-b91f-81815bfdbdb4,Loweberg Gym,Google,2022-12-08,Easy to book classes online. Can get crowded during peak hours. Good variety of machines and weights.,3
William Harvey,cefec156-0bbf-4b3a-8a3a-76d575fba4ea,Harrischester Gym,Google,2022-06-30,Good variety of machines and weights. Some machines were broken during my visit. Easy to book classes online. Atmosphere is motivating and energetic.,3
Jeffrey Ayala,72a7d813-1621-47fd-ab05-cb2f95a833c5,Port Alicia Gym,Google,2023-06-24,Atmosphere is motivating and energetic. Great equipment and clean facilities. Easy to book classes online.,3
Maureen Clark,5d170b94-3d6d-40cf-872d-9818af1899fd,Lisafort Gym,Google,2022-08-04,Can get crowded during peak hours. Some machines were broken during my visit. Easy to book classes online. Parking is limited but manageable.,1
Jill Copeland,9d23683b-43b3-44e2-838e-7df2e53c037c,Stephanieborough Gym,Google,2023-02-28,Parking is limited but manageable. Atmosphere is motivating and energetic. Easy to book classes online.,3
Lisa Jones,bd550836-2d35-48c1-b5f0-3ee9cd1eff77,Jacobsonchester Gym,Google,2023-02-23,Some machines were broken during my visit. Can get crowded during peak hours.,5
Victoria Bailey,8a0d26a4-7466-4fa8-9f12-fa54880d2c9b,East Tammymouth Gym,Google,2024-03-11,Can get crowded during peak hours. Atmosphere is motivating and energetic. Classes are fun and motivating. Staff are very friendly and helpful.,5
Denise Jacobson,7d2c5ae7-f124-41cc-9425-213758e0c325,Martinberg Gym,Google,2023-03-29,Great equipment and clean facilities. Some machines were broken during my visit. Classes are fun and motivating.,2
Felicia Vaughn,748c5d67-7448-4dcb-ad04-90efc86751ef,South Nancybury Gym,Google,2023-08-14,Atmosphere is motivating and energetic. Easy to book classes online.,2
Mrs. Jody Brown DDS,c1f83e9a-3cee-4bf5-865e-db8cde2c3d0a,Michaelfurt Gym,Google,2023-02-27,Some machines were broken during my visit. Staff are very friendly and helpful.,4
Stephen Hall,e9a82e75-c205-429e-b267-7a168cd810c2,South Susanhaven Gym,Google,2022-05-22,Some machines were broken during my visit. Classes are fun and motivating. Parking is limited but manageable. Locker rooms could be cleaner.,5
Dylan French,bc2438ba-42b8-4007-9dcf-4edacb68107c,Port Melvinchester Gym,Google,2024-02-23,Atmosphere is motivating and energetic. Classes are fun and motivating. Good variety of machines and weights.,3
Lee Taylor,d3f5e1bc-72b3-4ed1-a960-a6aa02d17cfe,Lake Lukeside Gym,Google,2022-07-17,Great equipment and clean facilities. Locker rooms could be cleaner. Easy to book classes online. Classes are fun and motivating.,4
Angela Schwartz,5efe7e20-4e8c-49c2-b978-45bb478cb8c9,Gouldland Gym,Google,2023-12-29,Great equipment and clean facilities. Atmosphere is motivating and energetic. Staff are very friendly and helpful. Good variety of machines and weights.,3
Mackenzie Lawrence,59f87a49-76a0-4f7c-b2fe-334098ca6c16,Rodrigueztown Gym,Google,2023-02-12,Easy to book classes online. Classes are fun and motivating. Atmosphere is motivating and energetic.,3
Melissa Garcia,7237b76b-5409-4014-be79-182054d7b362,Buchananmouth Gym,Google,2022-05-30,Atmosphere is motivating and energetic. Easy to book classes online.,4
Rachel Fitzpatrick,dc732ec3-7f3c-4a59-8fa7-7d210806e7bc,West Timothystad Gym,Google,2022-04-05,Good variety of machines and weights. Easy to book classes online. Classes are fun and motivating. Some machines were broken during my visit.,4
Bonnie Nunez,8e0cc6da-ff26-43a8-9121-87e592846458,Caldwellhaven Gym,Google,2023-10-26,Good variety of machines and weights. Locker rooms could be cleaner. Parking is limited but manageable. Some machines were broken during my visit.,1
Christopher Smith,a2885c8e-e5e8-49bf-8113-e74bd83b9f3c,Millerstad Gym,Google,2023-09-19,Easy to book classes online. Parking is limited but manageable. Staff are very friendly and helpful.,3
Mark Wallace,57db6093-67d2-4c74-8ec3-f3e6cd1679fe,West John Gym,Google,2022-03-17,Classes are fun and motivating. Some machines were broken during my visit. Atmosphere is motivating and energetic. Can get crowded during peak hours.,4
Barbara Gregory,c65afa84-a7f0-41c0-948d-7cc11c445b22,West Colleen Gym,Google,2022-07-19,Classes are fun and motivating. Good variety of machines and weights.,5
David White,a4014039-00f1-43b8-9d62-8f1c0fe97047,Matthewburgh Gym,Google,2024-04-01,Locker rooms could be cleaner. Can get crowded during peak hours. Great equipment and clean facilities.,2
Benjamin Roberts,33e0b6ff-f1a2-43d8-9a48-2336962bf3aa,Martintown Gym,Google,2022-08-15,Some machines were broken during my visit. Classes are fun and motivating.,5
Richard Thomas,1c771c53-24e2-49ef-9c67-32335bb74e56,New Lisaland Gym,Google,2023-01-28,Locker rooms could be cleaner. Atmosphere is motivating and energetic. Good variety of machines and weights. Some machines were broken during my visit.,1
Melissa Adams,baf53fcb-fcb1-45a0-8294-5b05fe4c17ae,Candacetown Gym,Google,2022-12-02,Classes are fun and motivating. Staff are very friendly and helpful. Good variety of machines and weights.,3
Kimberly Rivera,c9d2db54-0e15-4213-9f60-d8bf52ff293c,Lake Michelle Gym,Google,2022-10-13,Can get crowded during peak hours. Staff are very friendly and helpful. Classes are fun and motivating.,3
Casey Cannon,099c227d-da60-45f8-9829-8f819a1bb404,Kimberlyfort Gym,Google,2023-10-22,Parking is limited but manageable. Classes are fun and motivating. Great equipment and clean facilities. Some machines were broken during my visit.,4
Joseph Werner,8c538739-d1a0-469a-862f-6ac329726927,Harristown Gym,Google,2022-11-27,Good variety of machines and weights. Great equipment and clean facilities. Locker rooms could be cleaner. Can get crowded during peak hours.,4
Taylor Henry,d9a9abf8-e9ec-445c-95fe-186b8a31edb2,Paulbury Gym,Google,2023-01-28,Staff are very friendly and helpful. Parking is limited but manageable. Great equipment and clean facilities. Locker rooms could be cleaner.,3
Brian Randolph,074bb1a8-ab5e-4309-ae26-42e00a941542,West Phillip Gym,Google,2024-01-08,Some machines were broken during my visit. Parking is limited but manageable.,5
Heather Gregory,b2e54b61-1118-4616-9c75-8c258fa4cc9d,Porterton Gym,Google,2023-07-27,Atmosphere is motivating and energetic. Some machines were broken during my visit. Great equipment and clean facilities. Staff are very friendly and helpful.,3
Hayden Whitney,a8d455ce-bea4-422e-86f5-2d0617b9ae27,Watersside Gym,Google,2022-09-10,Locker rooms could be cleaner. Easy to book classes online. Can get crowded during peak hours.,1
Tina Bailey,da98498d-b4f5-4693-bcb2-7d9197a7a2d3,South Jasmine Gym,Google,2022-09-25,Locker rooms could be cleaner. Some machines were broken during my visit. Parking is limited but manageable. Classes are fun and motivating.,1
Oscar Peterson,2b98cae9-5ceb-4c70-9a90-05665aca0d91,Reeveshaven Gym,Google,2022-05-17,Some machines were broken during my visit. Easy to book classes online. Classes are fun and motivating. Staff are very friendly and helpful.,1
Sierra Nash,85576971-bbe8-48ca-a2bd-3ec130148278,North Amber Gym,Google,2022-07-15,Staff are very friendly and helpful. Great equipment and clean facilities. Easy to book classes online.,3
Taylor Green,9c81a4c0-f26d-426e-ba3c-1bc1897479e5,North Ashley Gym,Google,2023-07-28,Can get crowded during peak hours. Some machines were broken during my visit. Atmosphere is motivating and energetic.,4
Maria Koch,4e945193-e979-4962-9f21-56993c34f653,Lake Ronald Gym,Google,2023-02-15,Can get crowded during peak hours. Parking is limited but manageable. Classes are fun and motivating. Locker rooms could be cleaner.,5
Andrew Lee,bc20d0b0-1be1-4c96-a8a2-ae98ed3def58,Smithfort Gym,Google,2023-06-19,Some machines were broken during my visit. Staff are very friendly and helpful. Atmosphere is motivating and energetic. Parking is limited but manageable.,5
Michael Mcclure,fc9ac731-5d69-469d-b372-7ae44b6c630d,Feliciachester Gym,Google,2023-07-26,Easy to book classes online. Can get crowded during peak hours. Staff are very friendly and helpful. Great equipment and clean facilities.,4
David Craig,a3d37037-ba34-4faf-a76b-d7e66aa80673,Davidtown Gym,Google,2022-05-05,Can get crowded during peak hours. Easy to book classes online. Locker rooms could be cleaner.,2
Angela Thornton,f2aab918-371b-4e32-9c2d-b9767a86a7d3,Thompsontown Gym,Google,2023-07-15,Classes are fun and motivating. Great equipment and clean facilities.,3
David Thompson,6386d747-181e-4aac-8fd2-1de8a4601072,New Candice Gym,Google,2022-12-28,Some machines were broken during my visit. Parking is limited but manageable. Locker rooms could be cleaner. Classes are fun and motivating.,4
Margaret Garcia,24641b73-678c-4a17-bc5d-d2a56613deba,Bethville Gym,Google,2022-05-03,Some machines were broken during my visit. Good variety of machines and weights.,2
Brandon Brown,24916785-a7e9-4d32-bc57-a03e2e0a4114,Mcdonaldton Gym,Google,2022-08-17,Can get crowded during peak hours. Locker rooms could be cleaner. Staff are very friendly and helpful. Atmosphere is motivating and energetic.,4
